SampleID	PrimerPairID	BarcodeID	ProjectID	Slash_pile_number	Dist_from_edge	Depth_cm
Slashpile9	ITS2	Hotel345	ITS2/Slashpile-ITS2	2	29m	5
Slashpile10	ITS2	Hotel346	ITS2/Slashpile-ITS2	2	15m	20
Slashpile11	ITS2	Hotel347	ITS2/Slashpile-ITS2	2	15m	5
Slashpile40	ITS2	Hotel348	ITS2/Slashpile-ITS2	2	4.5m	20
Slashpile13	ITS2	Hotel349	ITS2/Slashpile-ITS2	2	4.5m	5
Slashpile14	ITS2	Hotel350	ITS2/Slashpile-ITS2	2	Edge	20
Slashpile15	ITS2	Hotel351	ITS2/Slashpile-ITS2	2	Edge	5
Slashpile16	ITS2	Hotel352	ITS2/Slashpile-ITS2	2	Forest	20
Slashpile17	ITS2	Hotel353	ITS2/Slashpile-ITS2	2	Forest	5
Slashpile18	ITS2	Hotel354	ITS2/Slashpile-ITS2	3	37.5m	20
Slashpile19	ITS2	Hotel355	ITS2/Slashpile-ITS2	3	37.5m	5
Slashpile20	ITS2	Hotel356	ITS2/Slashpile-ITS2	3	15m	20
Slashpile21	ITS2	Hotel357	ITS2/Slashpile-ITS2	3	15m	5
Slashpile22	ITS2	Hotel358	ITS2/Slashpile-ITS2	3	4.5m	20
Slashpile23	ITS2	Hotel359	ITS2/Slashpile-ITS2	3	4.5m	5
Slashpile24	ITS2	Hotel360	ITS2/Slashpile-ITS2	3	Edge	20
Slashpile25	ITS2	Hotel365	ITS2/Slashpile-ITS2	3	Edge	5
Slashpile26	ITS2	Hotel366	ITS2/Slashpile-ITS2	3	Forest	20
Slashpile27	ITS2	Hotel367	ITS2/Slashpile-ITS2	3	Forest	5
Slashpile28	ITS2	Hotel368	ITS2/Slashpile-ITS2	3	Edge	5
Slashpile1	LSU	Hotel337	LSU/Slashpile-LSU	1	Forest	5
Slashpile2	LSU	Hotel338	LSU/Slashpile-LSU	1	Edge	5
Slashpile3	LSU	Hotel339	LSU/Slashpile-LSU	1	4.5m	5
Slashpile4	LSU	Hotel340	LSU/Slashpile-LSU	1	4.5m	20
Slashpile5	LSU	Hotel341	LSU/Slashpile-LSU	1	15m	5
Slashpile6	LSU	Hotel342	LSU/Slashpile-LSU	1	15m	20
Slashpile7	LSU	Hotel343	LSU/Slashpile-LSU	1	Forest	20
Slashpile8	LSU	Hotel344	LSU/Slashpile-LSU	2	29m	20
Slashpile9	LSU	Hotel345	LSU/Slashpile-LSU	2	29m	5
Slashpile10	LSU	Hotel346	LSU/Slashpile-LSU	2	15m	20
Slashpile11	LSU	Hotel347	LSU/Slashpile-LSU	2	15m	5
Slashpile40	LSU	Hotel348	LSU/Slashpile-LSU	2	4.5m	20
Slashpile13	LSU	Hotel349	LSU/Slashpile-LSU	2	4.5m	5
Slashpile14	LSU	Hotel350	LSU/Slashpile-LSU	2	Edge	20
Slashpile15	LSU	Hotel351	LSU/Slashpile-LSU	2	Edge	5
Slashpile16	LSU	Hotel352	LSU/Slashpile-LSU	2	Forest	20
Slashpile17	LSU	Hotel353	LSU/Slashpile-LSU	2	Forest	5
Slashpile18	LSU	Hotel354	LSU/Slashpile-LSU	3	37.5m	20
Slashpile19	LSU	Hotel355	LSU/Slashpile-LSU	3	37.5m	5
Slashpile20	LSU	Hotel356	LSU/Slashpile-LSU	3	15m	20
Slashpile21	LSU	Hotel357	LSU/Slashpile-LSU	3	15m	5
Slashpile22	LSU	Hotel358	LSU/Slashpile-LSU	3	4.5m	20
Slashpile23	LSU	Hotel359	LSU/Slashpile-LSU	3	4.5m	5
Slashpile24	LSU	Hotel360	LSU/Slashpile-LSU	3	Edge	20
Slashpile25	LSU	Hotel365	LSU/Slashpile-LSU	3	Edge	5
Slashpile26	LSU	Hotel366	LSU/Slashpile-LSU	3	Forest	20
Slashpile27	LSU	Hotel367	LSU/Slashpile-LSU	3	Forest	5
Slashpile28	LSU	Hotel368	LSU/Slashpile-LSU	3	Edge	5
